"Data e HoraObservação","QNH (hPa)","QFE (hPa)","QFF (hPa)","Tendência da Pressão(conforme ICA 105-16)","Alt850hpa"
"01/11/2023 - 09:00:00","1015,4","1006,0","1015,1","5","-"
"01/11/2023 - 11:00:00","1014,9","1005,5","-","-","-"
"01/11/2023 - 12:00:00","1014,5","1005,1","1014,3","7","-"
"01/11/2023 - 13:00:00","1013,9","1004,6","-","-","-"
"01/11/2023 - 14:00:00","1012,5","1003,2","-","-","-"
"01/11/2023 - 15:00:00","1012,6","1003,3","1012,5","6","-"
"01/11/2023 - 16:00:00","1011,6","1002,3","-","-","-"
"01/11/2023 - 17:00:00","1013,2","1003,9","-","-","-"
"01/11/2023 - 18:00:00","1012,0","1002,7","1011,9","0","-"
"01/11/2023 - 19:00:00","1011,7","1002,4","-","-","-"
"01/11/2023 - 20:00:00","1010,7","1001,4","-","-","-"
"01/11/2023 - 21:00:00","1009,6","1000,3","1009,5","8","-"
"01/11/2023 - 22:00:00","1010,0","1000,7","-","-","-"
"02/11/2023 - 09:00:00","1007,5","998,2","1007,4","8","-"
"02/11/2023 - 10:00:00","1007,1","997,8","-","-","-"
"02/11/2023 - 11:00:00","1007,0","997,7","-","-","-"
"02/11/2023 - 11:29:00","1005,4","996,1","-","-","-"
"02/11/2023 - 12:00:00","1008,3","999,0","1008,2","5","-"
"02/11/2023 - 12:45:00","1007,2","997,9","-","-","-"
"02/11/2023 - 13:00:00","1006,5","997,2","-","-","-"
"02/11/2023 - 13:25:00","1005,9","996,6","-","-","-"
"02/11/2023 - 14:00:00","1006,3","997,0","-","-","-"
"02/11/2023 - 14:02:00","1004,4","995,1","-","-","-"
"02/11/2023 - 15:00:00","1005,3","996,0","1005,2","8","-"
"02/11/2023 - 15:28:00","1005,9","996,6","-","-","-"
"02/11/2023 - 16:00:00","1004,1","994,8","-","-","-"
"02/11/2023 - 17:00:00","1004,5","995,2","-","-","-"
"02/11/2023 - 18:00:00","1004,0","994,7","1003,8","8","-"
"02/11/2023 - 18:15:00","1004,0","994,7","-","-","-"
"02/11/2023 - 19:00:00","1003,8","994,5","-","-","-"
"02/11/2023 - 19:50:00","1003,7","994,4","-","-","-"
"02/11/2023 - 20:00:00","1003,7","994,4","-","-","-"
"02/11/2023 - 21:00:00","1003,7","994,4","1003,6","6","-"
"02/11/2023 - 21:21:00","1003,2","994,0","-","-","-"
"02/11/2023 - 22:00:00","1003,9","994,6","-","-","-"
"03/11/2023 - 09:00:00","1008,1","998,8","1008,0","3","-"
"03/11/2023 - 10:00:00","1009,9","1000,6","-","-","-"
"03/11/2023 - 11:00:00","1011,1","1001,8","-","-","-"
"03/11/2023 - 12:00:00","1012,0","1002,7","1012,0","2","-"
"03/11/2023 - 13:00:00","1012,5","1003,2","-","-","-"
"03/11/2023 - 14:00:00","1013,0","1003,7","-","-","-"
"03/11/2023 - 15:00:00","1012,6","1003,3","1012,6","0","-"
"03/11/2023 - 16:00:00","1013,2","1003,9","-","-","-"
"03/11/2023 - 17:00:00","1013,3","1004,0","-","-","-"
"03/11/2023 - 18:00:00","1013,4","1004,1","1013,4","1","-"
"03/11/2023 - 19:00:00","1013,6","1004,3","-","-","-"
"03/11/2023 - 20:00:00","1013,8","1004,5","-","-","-"
"03/11/2023 - 21:00:00","1014,6","1005,2","1014,5","3","-"
"03/11/2023 - 22:00:00","1015,2","1005,8","-","-","-"
"04/11/2023 - 09:00:00","1017,8","1008,4","1017,8","2","-"
"04/11/2023 - 10:00:00","1018,6","1009,2","-","-","-"
"04/11/2023 - 11:00:00","1019,1","1009,7","-","-","-"
"04/11/2023 - 12:00:00","1019,5","1010,1","1019,5","2","-"
"04/11/2023 - 13:00:00","1019,6","1010,2","-","-","-"
"04/11/2023 - 14:00:00","1019,3","1009,9","-","-","-"
"04/11/2023 - 15:00:00","1019,0","1009,6","1019,0","8","-"
"04/11/2023 - 16:00:00","1018,5","1009,1","-","-","-"
"04/11/2023 - 17:00:00","1017,8","1008,4","-","-","-"
"04/11/2023 - 18:00:00","1016,8","1007,4","1016,7","7","-"
"04/11/2023 - 19:00:00","1015,8","1006,4","-","-","-"
"04/11/2023 - 20:00:00","1015,5","1006,1","-","-","-"
"04/11/2023 - 21:00:00","1015,2","1005,8","1015,1","7","-"
"04/11/2023 - 22:00:00","1015,3","1005,9","-","-","-"
"05/11/2023 - 09:00:00","1015,5","1006,1","1015,4","3","-"
"05/11/2023 - 10:00:00","1016,5","1007,1","-","-","-"
"05/11/2023 - 11:00:00","1017,5","1008,1","-","-","-"
"05/11/2023 - 12:00:00","1017,8","1008,4","1017,7","2","-"
"05/11/2023 - 13:00:00","1017,8","1008,4","-","-","-"
"05/11/2023 - 14:00:00","1017,6","1008,2","-","-","-"
"05/11/2023 - 15:00:00","1017,1","1007,7","1017,0","7","-"
"05/11/2023 - 16:00:00","1016,1","1006,7","-","-","-"
"05/11/2023 - 17:00:00","1015,2","1005,8","-","-","-"
"05/11/2023 - 18:00:00","1014,9","1005,5","1014,7","6","-"
"05/11/2023 - 19:00:00","1014,4","1005,0","-","-","-"
"05/11/2023 - 20:00:00","1013,7","1004,4","-","-","-"
"05/11/2023 - 21:00:00","1013,8","1004,5","1013,7","5","-"
"05/11/2023 - 22:00:00","1014,0","1004,7","-","-","-"
"06/11/2023 - 09:00:00","1015,2","1005,8","1015,0","5","-"
"06/11/2023 - 10:00:00","1015,6","1006,2","-","-","-"
"06/11/2023 - 11:00:00","1015,9","1006,5","-","-","-"
"06/11/2023 - 12:00:00","1016,1","1006,7","1015,9","-","-"
"06/11/2023 - 13:00:00","1016,1","1006,7","-","-","-"
"06/11/2023 - 14:00:00","1015,9","1006,5","-","-","-"
"06/11/2023 - 15:00:00","1015,5","1006,1","1015,3","-","-"
"06/11/2023 - 16:00:00","1014,9","1005,5","-","-","-"
"06/11/2023 - 17:00:00","1014,1","1004,8","-","-","-"
"06/11/2023 - 18:00:00","1013,2","1003,9","1013,0","7","-"
"06/11/2023 - 19:00:00","1012,6","1003,3","-","-","-"
"06/11/2023 - 20:00:00","1012,3","1003,0","-","-","-"
"06/11/2023 - 21:00:00","1012,2","1002,9","1012,1","7","-"
"06/11/2023 - 22:00:00","1012,0","1002,7","-","-","-"
"07/11/2023 - 09:00:00","1010,4","1001,1","1010,2","5","-"
"07/11/2023 - 10:00:00","1010,8","1001,5","-","-","-"
"07/11/2023 - 11:00:00","1011,2","1001,9","-","-","-"
"07/11/2023 - 12:00:00","1011,1","1001,8","1010,8","0","-"
"07/11/2023 - 13:00:00","1010,9","1001,6","-","-","-"
"07/11/2023 - 14:00:00","1010,3","1001,0","-","-","-"
"07/11/2023 - 15:00:00","1009,6","1000,3","1009,3","7","-"
"07/11/2023 - 16:00:00","1008,6","999,3","-","-","-"
"07/11/2023 - 17:00:00","1007,7","998,4","-","-","-"
"07/11/2023 - 18:00:00","1006,9","997,6","1006,5","7","-"
"07/11/2023 - 19:00:00","1006,5","997,2","-","-","-"
"07/11/2023 - 20:00:00","1006,1","996,8","-","-","-"
"07/11/2023 - 21:00:00","1005,8","996,5","1005,5","7","-"
"07/11/2023 - 22:00:00","1006,1","996,8","-","-","-"
"08/11/2023 - 09:00:00","1007,9","998,6","1007,5","0","-"
"08/11/2023 - 10:00:00","1009,8","1000,5","-","-","-"
"08/11/2023 - 10:07:00","1009,4","1000,1","-","-","-"
"08/11/2023 - 11:00:00","1010,4","1001,1","-","-","-"
"08/11/2023 - 12:00:00","1011,4","1002,1","1011,1","2","-"
"08/11/2023 - 13:00:00","1012,6","1003,3","-","-","-"
"08/11/2023 - 14:00:00","1013,4","1004,1","-","-","-"
"08/11/2023 - 15:00:00","1010,4","1001,1","1010,1","8","-"
"08/11/2023 - 16:00:00","1008,5","999,2","-","-","-"
"08/11/2023 - 17:00:00","1008,1","998,8","-","-","-"
"08/11/2023 - 18:00:00","1007,2","997,9","1006,8","7","-"
"08/11/2023 - 19:00:00","1007,4","998,1","-","-","-"
"08/11/2023 - 20:00:00","1007,5","998,2","-","-","-"
"08/11/2023 - 21:00:00","1008,0","998,7","1007,7","2","-"
"08/11/2023 - 22:00:00","1008,5","999,2","-","-","-"
